name,lat,long
"Brisbane, Queensland",-27.4697707,153.0251235
"Wollongong, NSW, AUSTRALIA",-34.4278121,150.8930607
Melbourne,-37.8136276,144.9630576
Philippines,12.879721,121.774017
Australia,-25.274398,133.775136
"Nevada, USA",38.8026097,-116.419389
Melbourne Australia,-37.8136276,144.9630576
United States,37.09024,-95.712891
"California,orlando",28.485102,-81.4323
"Lower Saxony, Germany",52.6367036,9.8450766
Italy,41.87194,12.56738
"Los Angeles, California, USA",34.0522342,-118.2436849
Singapore,1.352083,103.819836
"Farnborough, South East",51.2868939,-0.7526149999999999
Brisbane,-27.4697707,153.0251235
New York,40.7127753,-74.0059728
Sydney AUSTRALIA,-33.8688197,151.2092955
"Texas, USA",31.9685988,-99.9018131
"London, England",51.5073509,-0.1277583
20.0,,
"Sydney, New South Wales",-33.8688197,151.2092955
U.S.A.,37.09024,-95.712891
"Sydney, Australia",-33.8688197,151.2092955
Romania,45.943161,24.96676
"England, United Kingdom",52.3555177,-1.1743197
"Lindisfarne, Tasmania",-42.847778,147.353056
Sydney,-33.8688197,151.2092955
"Washington, D.C.",38.9071923,-77.0368707
"New South Wales, Australia",-31.2532183,146.921099
The Mountains,36.07315000000001,-95.99471799999999
31.0,,
"Johannesburg, South Africa",-26.2041028,28.0473051
Europe,54.5259614,15.2551187
Inner North,36.8073775,-119.8127183
On the Corner,34.7477811,-92.26896789999999
London,51.5073509,-0.1277583
37.0,,
"Atlanta, GA",33.7489954,-84.3879824
Sydney ,-33.8688197,151.2092955
"Australia,somewhere.",-27.4831287,153.0135746
富士山と海のある県,35.4860243,138.7866591
"Dhaka, Bangladesh",23.810332,90.4125181
43.0,,
"Tokyo, Japan",35.6761919,139.6503106
"Australia, New Zealand",-41.2714314,174.7809421
Tokyo,35.6761919,139.6503106
"Washington, DC",38.9071923,-77.0368707
France,46.227638,2.213749
"Buenos Aires, Argentina",-34.6036844,-58.3815591
"Oxford, England",51.7520209,-1.2577263
"New York, New York",36.1023715,-115.1745559
New York and the World,40.7114771,-74.011478
India,20.593684,78.96288
"Jacksonville, Florida, USA",30.3321838,-81.65565099999999
"Melbourne, Victoria",-37.8136276,144.9630576
56.0,,
57.0,,
Sydney Australia,-33.8688197,151.2092955
59.0,,
日本,36.204824,138.252924
"Gundungurra Country, Australia",-33.72594,150.298249
cyberspace,41.680175,-88.208321
USA,37.09024,-95.712891
Canada,56.130366,-106.346771
65.0,,
UK,55.378051,-3.435973
"Wellington City, New Zealand",-41.2864603,174.776236
CyberSpace,41.680175,-88.208321
Delcoville,-26.3239603,-48.842406
"Melbourne, Australia",-37.8136276,144.9630576
new york,40.7127753,-74.0059728
Planet Earth,41.909611,-87.771964
73.0,,
"Wodonga, Vic, Australia",-36.1240938,146.8817639
tokyo,35.6761919,139.6503106
Sunshine Coast,-26.65,153.066667
"Italy, Europe and worldwide",41.87194,12.56738
Global,37.0329949,-95.6400855
"Kotchandpur, Bangladesh",23.4075287,89.0119581
Pentwater,43.7816728,-86.4331355
81.0,,
"🏛Washington, DC",38.9071923,-77.0368707
東京都町田市,35.546656,139.4385568
Princetown Australia,-38.6724766,143.1756455
Blue Mountains New South Wales,-33.409983,150.3037323
86.0,,
"New York,NY",40.7127753,-74.0059728
88.0,,
Worldwide,36.351186,-96.0055787
Cyprus,35.126413,33.429859
"Broken Hill, New South Wales",-31.9539135,141.4539396
92.0,,
São Paulo,-23.5505199,-46.63330939999999
Whatever...,35.1521807,-89.7958422
"Queensland, Australia. Female.",-20.9175738,142.7027956
"Dordrecht, Nederland",51.81329789999999,4.6900929
"New Delhi, India",28.6139391,77.2090212
Vermont South ,-37.851,145.183
"Seoul, Korea",37.566535,126.9779692
Jakarta,-6.2087634,106.845599
"ÜT: -31.914301,115.89685",30.2849185,-97.7340567
Tasmania,-41.4545196,145.9706647
"ÜT: 48.195723,-122.119899",30.2849185,-97.7340567
"Santa Clara, California",37.3541079,-121.9552356
105.0,,
Atlanta,33.7489954,-84.3879824
"Santa Clara, CA",37.3541079,-121.9552356
108.0,,
"Perth, Western Australia",-31.9505269,115.8604572
110.0,,
"Brisbane, Qld, Australia",-27.4697707,153.0251235
L'pool📍| MCR🐝📸 | Finchley🏡,51.5971434,-0.1979547
"Tailem Bend, South Australia",-35.253346,139.4561136
"Queensland, Australia",-20.9175738,142.7027956
portharcourt,4.815554,7.0498442
United Kingdom,55.378051,-3.435973
"Dublin/Laois, Ireland",53.0378883,-7.2822951
Ireland,53.1423672,-7.692053599999999
Los Angeles,34.0522342,-118.2436849
New Zealand,-40.900557,174.885971
2600 (Australia),-35.3075699,149.1099161
Sea of Green,33.4223839,-111.907095
Nederland,39.9613759,-105.5108312
124.0,,
"Mumbai, India",19.0759837,72.8776559
Bengaluru,12.9715987,77.5945627
Indonesia,-0.789275,113.921327
"ملتان, پاکستان",30.157458,71.5249154
K J Hyett | Sydney | Australia,-33.776345,151.009328
"New York, NY",40.7127753,-74.0059728
"Hamburg, Germany",53.5510846,9.9936819
Ankara,39.9333635,32.8597419
133.0,,
134.0,,
"Los Angeles, CA",34.0522342,-118.2436849
Swansea 2281 NSW,-33.085,151.635
"Meanjin (Brisbane), Australia",-27.4697707,153.0251235
"Croatia, Rijeka",45.3270631,14.442176
"Lightning Ridge, New South Wal",-29.4293482,147.9853868
"Stockholm, Sweden",59.32932349999999,18.0685808
"Melbourne, AU",-37.8136276,144.9630576
Brussels,50.8503463,4.3517211
Harden NSW Australia,-34.5526886,148.3666988
"Carlsbad, CA",33.1580933,-117.3505939
"Yarra Valley, Australia",-37.7450808,145.7133909
146.0,,
"Adelaide, South Australia",-34.9284989,138.6007456
Pakistan,30.375321,69.34511599999999
La La Land,26.3496347,-80.2289571
One world,40.7133444,-74.0133677
Asia,34.047863,100.6196553
"Pune, India",18.5204303,73.8567437
Melbourne and Memphis,-37.8136276,144.9630576
"Houston, TX",29.7604267,-95.3698028
"Chingford, London, E4",51.6320667,0.007362700000000001
"Södermalm, Stockholm",59.31252679999999,18.0616188
"Perth, Australia",-31.9505269,115.8604572
"Nagpur, India",21.1458004,79.0881546
Essex UK,51.57424469999999,0.4856781
"Tasmania, Australia.",-41.4545196,145.9706647
 Australia,-25.274398,133.775136
Naarm,17.3134273,78.4122459
Lost Highway,35.4854678,-97.56588149999999
Venice-Milan,45.4696061,9.18812
"London, New York, Singapore",51.5073509,-0.1277583
Sunny Coast QLD,-26.65,153.066667
"Seattle, Washington, USA",47.6062095,-122.3320708
"MA, NY",40.720773,-73.98677339999999
Central Victoria AUSTRALIA ,-37.4713077,144.7851531
"California, USA",36.778261,-119.4179324
Dorset,50.7487635,-2.3444786
"Canberra, Australia",-35.2809368,149.1300092
173.0,,
Queensland,-20.9175738,142.7027956
175.0,,
quezon city Philippines,14.6760413,121.0437003
Gold Coast,-28.016667,153.4
Egypt,26.820553,30.802498
Agharta,44.96507039999999,-93.2011936
"-33.878118,151.184530",-33.8780058,151.1845089
"South London, Bruv!",51.5073509,-0.1277583
worldwide,36.351186,-96.0055787
Sweden,60.12816100000001,18.643501
"London, United Kingdom",51.5073509,-0.1277583
"Oregon, USA",43.8041334,-120.5542012
Fredericton,45.9635895,-66.6431151
"Tasmania, Australia",-41.4545196,145.9706647
"Tulsa, OK",36.1539816,-95.99277500000001
Japan,36.204824,138.252924
"Dacca, Bangladesh",23.810332,90.4125181
"Heirok, India",24.5846477,94.077457
"Oslo (as of May '19), Via Aus",59.9138688,10.7522454
Rio de Janeiro,-22.9068467,-43.1728965
Planet Earth WWW,41.909611,-87.771964
Kozhikode,11.2587531,75.78041
196.0,,
197.0,,
Miami,25.7616798,-80.1917902
Coming to a city near you ,36.3125963,-95.61609
maldives,3.202778,73.22068
NYC,40.7127753,-74.0059728
Canberra,-35.2809368,149.1300092
"anzio,italy",41.4495955,12.6197253
"Boston, MA",42.3600825,-71.0588801
"Silicon Valley, CA ",37.387474,-122.0575434
Jupiter,26.9342246,-80.0942087
"Ottawa, IL 61350",41.3455892,-88.8425769
Around the world,43.41957499999999,-73.7090135
"Cleveland, Ohio",41.49932,-81.6943605
Athens - Nicosia,37.9838096,23.7275388
"Brisbane, Australia",-27.4697707,153.0251235
Wynnum West Queensland,-27.45,153.15
Oxford,34.3664951,-89.5192484
"Portland, Victoria, Australia.",-38.360895,141.6041155
215.0,,
"Glendale, CA",34.1425078,-118.255075
hong kong,22.3193039,114.1693611
Brisbane  Sydney  Melbourne Newcastle Canberra,-27.466224,153.018944
"Northcliff, Johannesburg, ZA",-26.1478991,27.9629752
Oceania,-22.7359095,140.0187653
Belgium ,50.503887,4.469936
"Victoria, Australia",-37.4713077,144.7851531
Germany,51.165691,10.451526
Lebanon,33.854721,35.862285
Lucknow,26.8466937,80.94616599999999
"Amsterdam, Noord-Holland",52.3679843,4.9035614
japan,36.204824,138.252924
228.0,,
"Perth, Perth (WA)",-31.9505269,115.8604572
Australia-Israel,32.0616549,34.7705556
"Kigali, Rwanda",-1.9705786,30.1044288
"Bay Area, California",37.8271784,-122.2913078
Nation's Capital,38.9155554,-77.0469791
"chennai,India",13.0826802,80.2707184
Goa in Heart,15.5947468,73.80882869999999
"Port Moresby, PNG",-9.443800399999999,147.1802671
Israel,31.046051,34.851612
AUSTRALIA,-25.274398,133.775136
"Mostly Chicago, IL ",41.8044691,-87.71935099999999
240.0,,
"Accra, Ghana",5.6037168,-0.1869644
"Dubai, United Arab Emirates",25.2048493,55.2707828
Maui,20.7983626,-156.3319253
Australian National University,-35.2776999,149.118527
245.0,,
"Lugo (RA), Italy",44.48072699999999,11.8963211
"Maffra, Victoria",-37.9619053,146.9886238
"Chennai, India",13.0826802,80.2707184
"Utrecht, Holland",52.09073739999999,5.1214201
"Sydney, NSW  Australia",-33.8688197,151.2092955
"Noida, India",28.5355161,77.3910265
Irvine CA,33.6845673,-117.8265049
"Baldivis, Western Australia",-32.334,115.812
Tarzan,37.1156329,-94.45749289999999
Hong Kong,22.3193039,114.1693611
"Taylors Arm, NSW",-30.7633628,152.7147533
"Sheffield, England",53.38112899999999,-1.470085
Auckland,-36.8484597,174.7633315
"Townsville, Nth Qld, Australia",-19.2589635,146.8169483
"Mexico City, Mexico",19.4326077,-99.133208
Perth,-31.9505269,115.8604572
262.0,,
"Brisbane, Queensland, Australia",-27.4697707,153.0251235
"Despondent Land, Melbourne",-37.8136276,144.9630576
265.0,,
Darwin,37.0929586,-95.5828336
"Alabama, USA",32.3182314,-86.902298
Melbourne Australia ,-37.8136276,144.9630576
Toronto,43.653226,-79.3831843
"Tezpur, India",26.6528495,92.7925592
"Tanah Merah, Queensland",-27.666667,153.166667
Gujarat,22.258652,71.1923805
"Michigan, USA",44.3148443,-85.60236429999999
"Englewood Cliffs, NJ",40.88537729999999,-73.9523597
"Essen, Germany",51.4556432,7.0115552
"Moab, UT",38.5733155,-109.5498395
Gilligan's Island,27.274379,-82.564073
Sydney E=Mc2,-33.8688197,151.2092955
Sydney/Canberra,-35.2776905,149.1287459
"Gold Coast, Queensland",-28.016667,153.4
281.0,,
"Sydney, NSW, South of Fuckwitistan (Queensland)",-33.8688197,151.2092955
Essex,51.57424469999999,0.4856781
"Hyderabad, Andhra Pradesh",17.385044,78.486671
INDIA,20.593684,78.96288
"Gilbert, AZ",33.3528264,-111.789027
287.0,,
"Hobart, Australia",-42.8821377,147.3271949
"Canberra, Australian Capital T",-35.2809368,149.1300092
"Dharwad, Karnataka",15.4589236,75.007808
"Melbourne, The Milky Way",-37.806762,144.984851
292.0,,
queensland,-20.9175738,142.7027956
Malta,35.937496,14.375416
"Jakarta, Indonesia",-6.2087634,106.845599
"Gawler, South Australia",-34.5973516,138.7448796
South Brisbane,-27.47665,153.01667
"ℙ𝕖𝕣𝕥𝕙, 𝕎𝔸",-31.9505269,115.8604572
"Sunshine Coast, Queensland",-26.65,153.066667
"Brisbane, Queensland, Aus",-27.4697707,153.0251235
New Delhi,28.6139391,77.2090212
Mulgrave  Melbourne  Australia,-37.928,145.174
Northern NSW,-29.2758152,153.0147578
"London, via Sydney ",-33.9399228,151.1752764
Capital of Africa ,-1.26957,36.8092492
Watford,51.656489,-0.39032
Morrl Morrl,-36.8592194,142.9345285
Latrobe Valley,-38.2381484,146.3953774
Kolkata,22.572646,88.36389500000001
310.0,,
"Darlinghurst, Sydney",-33.8780176,151.2204441
"cudtheringa, north queensland",-19.2666667,146.8
Sydney Australia.,-33.8688197,151.2092955
Scotland,56.49067119999999,-4.2026458
Delhi,28.7040592,77.10249019999999
"Las Vegas, NV",36.1699412,-115.1398296
New York City,40.7127753,-74.0059728
"Maldives, Male'",4.1754959,73.5093474
"Jeddah, Saudi Arabia",21.485811,39.19250479999999
Everywhere,28.687536,-81.3465982
321.0,,
United Arab Emirates,23.424076,53.847818
"Central Queensland, Australia",-20.9175738,142.7027956
324.0,,
bangladesh,23.684994,90.356331
"South Australia, Australia",-30.0002315,136.2091547
Republic of Slovenia,46.151241,14.995463
"Miami, FL",25.7616798,-80.1917902
glasgow,55.864237,-4.251806
"TAMIL NADU, INDIA",11.1271225,78.6568942
"Washington DC, USA",38.9071923,-77.0368707
"Brunswick, VIC, Australia",-37.7667,144.9628
"Ontario, Canada",51.253775,-85.323214
"Melbourne, Kulin Nations land",-37.8136276,144.9630576
"Eugene, OR",44.0520691,-123.0867536
"Georgia, USA",32.1656221,-82.9000751
"Castle Hill, NSW, Australia",-33.72925,151.00402
Magnetic Island,-19.1358653,146.8423556
"New York, London, Hong Kong",40.7127753,-74.0059728
Delhi/ Lucknow / Berkeley,28.7040592,77.10249019999999
Regional Australia,-35.3085313,149.136181
The Present...,42.1417436,-87.8673694
The Nation of Canada,45.4056351,-74.9805296
"Redlands, Queensland.",-27.5733214,153.3446649
Third Rock from the Sun,33.3945681,-104.5229281
"Hyderabad, India",17.385044,78.486671
"Trinity Beach, QLD Australia",-16.783333,145.7
"Gladstone, Queensland, Australia",-23.8415948,151.2497708
"Kolkata, West Bengal, India",22.572646,88.36389500000001
"Ontario, CA",34.0633443,-117.6508876
Vancouver,49.2827291,-123.1207375
"Sydney, NSW",-33.8688197,151.2092955
California,36.778261,-119.4179324
Narrm // Melbourne,-37.8136276,144.9630576
Shanghai,31.230416,121.473701
"Bacolod City, Philippines",10.6840053,122.9563021
"Austin, Texas",30.267153,-97.7430608
sydney,-33.8688197,151.2092955
Western Australia,-27.6728168,121.6283098
360.0,,
australia,-25.274398,133.775136
"Jacksonville, FL",30.3321838,-81.65565099999999
"Surfers Paradise, Gold Coast",-28.0,153.416667
North Queensland Mackay,-21.1424956,149.1821469
"Bundanoon, New South Wales",-34.6660828,150.28377
SYDNEY AU,-33.8688197,151.2092955
University of Melbourne,-37.7983459,144.960974
Edge of the World Tasmania.,-41.05753199999999,144.6597783
las vegas ,36.1699412,-115.1398296
"Canberra City, Canberra",-35.2809368,149.1300092
Washington,47.7510741,-120.7401385
Brisbanej,-27.4697707,153.0251235
"USA, Worldwide",38.5490014,-90.343599
374.0,,
375.0,,
376.0,,
Nana Glen NSW,-30.133333,153.0
378.0,,
"Missouri, USA",37.9642529,-91.8318334
"México, D.F.",19.4326077,-99.133208
"Newcastle, Australia",-32.9282712,151.7816802
Israel.Ashdod,31.804381,34.655314
San Francisco,37.7749295,-122.4194155
"Rural NSW, Australia",-35.308502,148.064126
Earth,37.2321077,-95.7243335
Holbox Island,21.5308421,-87.2866995
Longreach,-23.4421917,144.2555041
Canberra + Sydney,-35.2776905,149.1287459
389.0,,
"Lagos, Nigeria",6.5243793,3.3792057
"Shimla, India",31.1048145,77.17340329999999
Great Southern Land,32.501639,-86.216585
"Winnipeg, Manitoba",49.895136,-97.13837439999999
394.0,,
"State of Mexico, Mexico",19.4968732,-99.72326729999999
"West Java, Indonesia",-7.090910999999999,107.668887
"Adelaide, Australia",-34.9284989,138.6007456
"Vancouver, British Columbia",49.2827291,-123.1207375
Melbourne ,-37.8136276,144.9630576
Africa,-8.783195,34.508523
Bli Bli Qld Australia,-26.618,153.037
"Coleambally, New South Wales",-34.8053864,145.882762
"Lahore, Pakistan",31.5203696,74.35874729999999
"Bengaluru, India",12.9715987,77.5945627
"Florida, USA",27.6648274,-81.5157535
406.0,,
Melbourne/Geelong,-37.755589,144.776951
"Melbourne,Australia",-37.8136276,144.9630576
London and Adelaide,51.5436489,-0.1613423
410.0,,
"South Coast, New South Wales",-36.6806101,149.6564494
South Australia,-30.0002315,136.2091547
Blacktown by the Sea,-33.7502173,150.9154775
"Tampa, FL",27.950575,-82.4571776
415.0,,
Antigua and Barbuda ,17.060816,-61.796428
Sydney.,-33.8688197,151.2092955
